gender,season,wrestler_1,team_1,wrestler_2,team_2,weight,dropped_date,dropped_event,dropped_result,kept_date,kept_event,kept_result
boys,2015,Hayden Shepherd,Boyle County,Adam Bender,Lexington Catholic,106,2014-12-20,Lafayette Classic,TF 16-0 0:00,2014-12-19,2014 Five Star Classic,TF 16-0 0:00
boys,2015,Adam Bender,Lexington Catholic,Gentry Deck,Madison Central,106,2014-12-20,Lafayette Classic,Dec 3-1,2014-12-19,2014 Five Star Classic,Dec 3-1
boys,2015,Adam Bender,Lexington Catholic,Andres Calleja,Paul Dunbar,106,2014-12-20,Lafayette Classic,TF 15-0 0:00,2014-12-19,2014 Five Star Classic,TF 15-0 0:00
boys,2015,Alex Holt,Montgomery County,Alex Spalding,Paul Dunbar,120,2014-12-20,Lafayette Classic,Fall 0:00,2014-12-19,2014 Five Star Classic,Fall 1:52
boys,2015,Aaron Flenner,Madison Central,Cody Thomas,Central Hardin,126,2014-12-20,Lafayette Classic,Fall 0:00,2014-12-19,2014 Five Star Classic,Fall 0:00
boys,2015,Alex Contreras,Lafayette,Dax Hays,Montgomery County,132,2014-12-20,Lafayette Classic,Fall 0:00,2014-12-19,2014 Five Star Classic,Fall 0:34
boys,2015,Luis Paredes,Paul Dunbar,Griffin Hall,Taylor County,126,2014-12-20,Lafayette Classic,Fall 0:00,2014-12-19,2014 Five Star Classic,Fall 5:39
boys,2015,Elias Kelly,Lexington Catholic,Brad Osburn,Male,138,2014-12-20,Lafayette Classic,Fall 0:00,2014-12-19,2014 Five Star Classic,Fall 0:00
boys,2015,Landon Brown,Lafayette,Trey Woodley,Montgomery County,144,2014-12-20,Lafayette Classic,Fall 0:00,2014-12-19,2014 Five Star Classic,Fall 0:00
boys,2015,Trey Woodley,Montgomery County,Elias Eqal,Tates Creek,144,2014-12-20,Lafayette Classic,Fall 0:00,2014-12-19,2014 Five Star Classic,Fall 0:00
boys,2015,Lucas McCain,Boyle County,Ethan Johnson,Montgomery County,138,2014-12-20,Lafayette Classic,Fall 0:00,2014-12-19,2014 Five Star Classic,Fall 0:00
boys,2015,Christopher Morrow,Madison Central,Aaron Chandler,Central Hardin,150,2014-12-20,Lafayette Classic,Dec 8-7,2014-12-19,2014 Five Star Classic,Dec 8-7
boys,2015,Reggie Barry,Lafayette,Colton Miller,Montgomery County,157,2014-12-20,Lafayette Classic,Fall 0:00,2014-12-19,2014 Five Star Classic,Fall 0:00
boys,2015,Cruz Murphy,Boyle County,Colton Miller,Montgomery County,157,2014-12-20,Lafayette Classic,Dec 14-11,2014-12-19,2014 Five Star Classic,Dec 14-11
boys,2015,Cruz Murphy,Boyle County,Cole Riney,Central Hardin,157,2014-12-20,Lafayette Classic,Dec 11-5,2014-12-19,2014 Five Star Classic,Dec 11-5
boys,2015,Brandon Devins,Boyle County,Christian Bowling,Montgomery County,165,2014-12-20,Lafayette Classic,TF 19-0 0:00,2014-12-19,2014 Five Star Classic,TF 19-0 0:00
boys,2015,Brandon Devins,Boyle County,Dakota Jones,Central Hardin,165,2014-12-20,Lafayette Classic,Dec 6-3,2014-12-19,2014 Five Star Classic,Dec 6-3
boys,2015,Mason Boggs,Lafayette,Christian Bowling,Montgomery County,165,2014-12-20,Lafayette Classic,Fall 0:00,2014-12-19,2014 Five Star Classic,Fall 0:00
boys,2015,Dylan Mayes,Madison Central,Christian Bowling,Montgomery County,165,2014-12-20,Lafayette Classic,Fall 0:00,2014-12-19,2014 Five Star Classic,Fall 0:00
boys,2015,Luke Chancey,Male,Christian Bowling,Montgomery County,165,2014-12-20,Lafayette Classic,Fall 0:00,2014-12-19,2014 Five Star Classic,Fall 0:00
boys,2015,Michael Grapner,Montgomery County,Josh Robbins,Boyle County,175,2014-12-20,Lafayette Classic,Fall 0:00,2014-12-19,2014 Five Star Classic,Fall 0:00
boys,2015,Josh Robbins,Boyle County,Dalton Parr,Central Hardin,175,2014-12-20,Lafayette Classic,Fall 0:00,2014-12-19,2014 Five Star Classic,Fall 1:57
boys,2015,Jacob Webb,Montgomery County,William Bossert,Lafayette,190,2014-12-20,Lafayette Classic,Fall 0:00,2014-12-19,2014 Five Star Classic,Fall 0:00
boys,2015,Justus Williams,Madison Southern,Zach Jones,Central Hardin,215,2014-12-20,Lafayette Classic,Fall 0:00,2014-12-19,2014 Five Star Classic,Fall 0:00
boys,2015,Seth Hines,Bullitt East,Anthony Clark,Iroquois,106,2014-12-06,vs. Bullitt East,Fall 0:00,2014-12-05,vs. Iroquois,Fall 1:46
boys,2015,Matthew Brown,Bullitt East,Kentrail Shobe,Iroquois,144,2014-12-06,vs. Bullitt East,Fall 0:00,2014-12-05,vs. Iroquois,Fall 46:00
