gender,season,wrestler_1,team_1,wrestler_2,team_2,weight,dropped_date,dropped_event,dropped_result,kept_date,kept_event,kept_result
boys,2021,Trevor Miller,Dixie Heights,Mikey Smith,Scott,113,2021-02-02,vs. Scott,Fall 0:00,2021-02-03,vs. Dixie Heights,Fall 2:35
boys,2021,Christopher Howard,Dixie Heights,Chase O`Keefe,Scott,120,2021-02-02,vs. Scott,Fall 0:00,2021-02-03,vs. Dixie Heights,Fall 3:26
boys,2021,Patrick Butler,Dixie Heights,Aiden Zinser,Scott,138,2021-02-02,vs. Scott,Fall 0:00,2021-02-03,vs. Dixie Heights,Fall 2:40
boys,2021,Kaden Lameier,Dixie Heights,Zach Reed,Scott,144,2021-02-03,vs. Dixie Heights,Dec 7-0,2021-02-02,vs. Scott,Dec 7-0
boys,2021,Anthony Kopp,Dixie Heights,Tisen Moore,Scott,165,2021-02-02,vs. Scott,Fall 0:00,2021-02-03,vs. Dixie Heights,Fall 3:43
boys,2021,JONAH BAYSINGER,Scott County,Nico Plumeri,Trinity (Louisville),120,2021-01-22,vs. Trinity (Louisville),Fall 0:00,2021-01-23,vs. Scott County,Fall 0:00
boys,2021,CAMRYN CLARK,Scott County,George Ferree,Trinity (Louisville),132,2021-01-22,vs. Trinity (Louisville),Fall 0:00,2021-01-23,vs. Scott County,Fall 0:00
boys,2021,FRANK CHISLEY,Scott County,Jonny Phillips,Trinity (Louisville),150,2021-01-22,vs. Trinity (Louisville),Fall 0:00,2021-01-23,vs. Scott County,Fall 0:00
boys,2021,ELIJAH BAYSINGER,Scott County,Kyle Rufra,Trinity (Louisville),157,2021-01-22,vs. Trinity (Louisville),Dec 7-2,2021-01-23,vs. Scott County,Dec 7-2
boys,2021,Franklin Schoen,Trinity (Louisville),KADEN MCCONAUGHHAY,Scott County,175,2021-01-22,vs. Trinity (Louisville),Dec 9-5,2021-01-23,vs. Scott County,Dec 9-5
boys,2021,Ryan Martin,Trinity (Louisville),CODY DAVIS,Scott County,215,2021-01-22,vs. Trinity (Louisville),Fall 0:00,2021-01-23,vs. Scott County,Fall 0:00
boys,2021,LaQuann Williams,Trinity (Louisville),DANIEL DAFF,Scott County,285,2021-01-22,vs. Trinity (Louisville),Fall 0:00,2021-01-23,vs. Scott County,Fall 0:00
boys,2021,Landon Crafton,Madison Central,Caleb Barnes,Johnson Central,126,2021-02-13,vs. Madison Central,Dec 1-0,2021-01-30,vs. Madison Central,Dec 1-0
boys,2021,Lucas Hutchison,Madison Central,Seth Davis,Johnson Central,138,2021-02-13,vs. Madison Central,Dec 1-0,2021-01-30,vs. Madison Central,Dec 1-0
boys,2021,Zac Cowan,Madison Central,Reece Goss,Johnson Central,144,2021-02-13,vs. Madison Central,Dec 1-0,2021-01-30,vs. Madison Central,Dec 1-0
boys,2021,Max McCain,Madison Central,chase price,Johnson Central,175,2021-02-13,vs. Madison Central,Fall 0:00,2021-01-30,vs. Madison Central,Fall 0:00
boys,2021,James Morris,Johnson Central,Troy Gardner,Ashland Blazer,106,2021-02-06,vs. Ashland Blazer,Fall 0:00,2021-02-05,vs. Johnson Central,Fall 4:20
